2023;1;10;20;15;-12
2023;1;15;23;10;-10
2023;1;17;1;4;-15
2023;1;25;15;16;-10
2023;2;10;20;15;-1
2023;2;15;23;10;-5
2023;2;17;1;4;0
2023;2;25;15;16;-1
2023;3;10;1;15;-1
2023;3;15;13;10;5
2023;3;17;15;48;9
2023;3;25;10;16;12
2023;4;10;20;15;15
2023;4;15;23;10;10
2023;4;17;1;4;20
2023;4;25;15;16;21
2023;5;10;20;15;22
2023;5;15;23;10;20
2023;6;17;1;4;26
2023;6;25;15;16;15
2023;7;10;20;15;28
2023;7;15;23;10;29
2023;8;17;1;4;20
2023;8;25;15;16;18
2023;9;10;20;15;15
2023;9;15;23;10;10
2023;10;17;1;4;8
2023;10;25;15;16;0
2023;11;10;20;15;-5
2023;11;15;23;10;-3
2023;12;17;1;4;-10
2023;12;25;15;16;-15
